moroni 0 -0,299007194162815 1 0
to 1 -73,1969780272325 6962 2899
anjouan 2 -36,9841953704526 2 0
. 3 -99,2148204895736 9370 6620
it 4 -7,15821900989778 1267 552
is 5 -33,1042747643796 1153 645
a 6 55,7731889182577 2952 2039
very 7 365,718049253765 310 859
small 8 -91,870567845912 66 44
airline 9 -256,777572971805 762 295
my 10 -37,6815774378747 1956 707
ticket 11 -84,151082942938 368 55
advised 12 -12,1856608590976 22 2
me 13 22,3441294698716 1017 309
turn 14 -4,73626026419749 14 6
up 15 3,65115196842288 300 121
at 16 -114,968079989715 1203 469
0800hrs 17 -1,80931931436496 1 0
which 18 -119,804231773179 398 205
i 19 115,873282970103 4052 1803
did 20 89,9912279333413 341 110
there 21 -105,697164051885 551 190
was 22 25,9639049392957 2778 2270
confusion 23 11,0521681471971 5 3
this 24 -104,340003323108 1131 517
airport 25 59,2162293633056 455 159
then 26 8,96333672621444 352 84
directed 27 7,36739985727118 13 6
the 28 -3,68210926064387 7533 4328
office 29 -14,230588487224 40 6
of 30 -39,6421966209273 2030 1214
ab 31 36,7747913730213 8 10
aviation 32 -2,96317697845547 4 0
still 33 -73,6215010609112 182 48
closed 34 -2,43103260813795 52 4
opened 35 -18,4073127562214 18 7
0900hrs 36 -1,57222530868474 1 0
and 37 91,4919867452197 4587 3891
told 38 -284,288682354562 472 19
that 39 -52,7290288865236 1771 488
flight 40 66,9641783444044 2184 1467
had 41 127,58842367818 1124 479
been 42 -58,719151454195 299 117
put 43 -49,589817754547 111 29
back 44 -60,1410854345379 390 159
1300hrs 45 -0,997670105098593 1 0
they 46 -334,621257626694 2187 438
tried 47 -61,3722654454281 137 11
contact 48 -36,2524762636761 71 6
could 49 83,9860181506192 306 115
not 50 -434,556272585344 1547 362
be 51 -71,3485383063315 672 253
true 52 -3,22518892037924 14 5
as 53 33,5504748444308 587 432
have 54 57,4944209998447 1094 476
phone 55 -17,1018449527686 154 24
number 56 -32,0608819517591 127 28
with 57 131,86363917797 1516 1288
local 58 -12,1748174093546 15 4
guide 59 -1,87444742697964 4 1
he 60 92,6323905016912 180 74
informed 61 7,2057884321575 66 25
either 62 -46,9998476755339 64 14
presume 63 -2,63997822619974 2 0
bumped 64 -5,63537318438076 8 2
off 65 -57,7563685471454 176 94
later 66 -93,7879061671383 187 27
operate 67 -11,3641608680897 7 3
but 68 -44,5248389397398 846 465
usual 69 21,6710526261344 10 24
, 70 -38,5766233904644 4550 2026
check-in 71 -14,1600638843421 84 94
only 72 -86,6206424449201 464 192
30mins 73 -1,57520189572834 1 0
were 74 129,409105840143 1056 942
no 75 -453,597201958623 1067 219
further 76 3,32198813693691 26 6
problems 77 50,2537223317445 46 39
good 78 462,39325942597 90 515
one 79 -121,84233347878 514 221
for 80 -58,8625197408546 2114 915
comoros 81 -36,6643994376829 2 0
dzaoudzi 82 -36,5801250592247 3 0
based 83 -26,8681265201737 18 9
in 84 83,7256790674877 2290 1390
disorganised 85 -37,2936593278747 2 0
because 86 -186,500023096614 377 79
locals 87 -35,7136518258665 1 0
big 88 -25,9159204782527 33 37
packages 89 -35,3291884153286 2 1
disinterested 90 -46,7464316895913 4 0
staff 91 80,2641387126241 361 400
fortunately 92 -33,5331978749638 3 3
short 93 6,98576936991223 45 111
( 94 49,0385834936698 543 367
30 95 -72,8416120785482 78 26
mins 96 -50,8117319901063 40 31
) 97 36,9208281727139 563 371
took 98 13,5455563015517 149 85
on 99 134,715285140656 1596 1503
time 100 121,590236476292 524 505
landed 101 11,8429082496757 38 47
like 102 33,4525742587413 174 120
course 103 -48,5235287646407 50 24
in-flight 104 -36,4373608431021 16 27
entertainment 105 27,203797953857 73 159
nor 106 -36,9278966243509 36 3
cabin 107 74,750014128699 100 369
service 108 188,241373252609 599 672
except 109 -39,4083852595223 24 6
biscuits 110 -33,3238332670293 1 4
bottle 111 -21,9146033983746 5 7
water 112 -94,5296167462271 66 44
quite 113 -16,5324858260027 25 66
nice 114 220,288074762136 24 216
! 115 153,796790289551 425 315
holguin 116 -4,91408724920549 2 3
havana 117 -58,2317217379956 9 0
last 118 -45,8656567050915 152 56
week 119 -1,94171437208621 52 24
okay 120 -13,4563475545758 18 11
apart 121 6,62574663773447 10 7
from 122 118,651761176275 931 698
issuing 123 -21,195650688324 5 0
duplicate 124 -11,7825168644462 4 0
boarding 125 14,0592398921769 244 163
cards 126 -11,2268664504526 8 3
different 127 -48,2064111532208 86 31
passengers 128 -119,213786426519 227 120
return 129 -3,44928516137846 175 171
turbo 130 -10,2854641049101 1 0
prop 131 -8,69883967963925 1 1
plane 132 30,8081659273748 333 210
1 133 -44,2220312713282 111 34
hour 134 -99,2325678212254 263 84
late 135 -96,9054283958419 141 58
infested 136 -9,21697277404227 1 0
by 137 -17,0565967118165 429 236
cockroaches 138 -10,5307659616837 1 0
running 139 -19,4781200337587 25 4
along 140 12,6342375050924 16 21
floor 141 -4,2500334106153 9 4
overhead 142 -14,3550219402905 16 16
lockers 143 -7,40753554506578 1 2
electrical 144 -10,3053552570778 1 0
ducts 145 -10,231828088561 1 0
generally 146 -10,2062473127648 4 10
dirty 147 -150,100714047207 34 2
obvious 148 -15,4023024581849 7 0
lack 149 -48,7582059465154 55 9
maintenance 150 -4,0275238920597 8 3
what 151 20,4199899267033 232 87
wonderful 152 18,8864839405224 4 45
friendly 153 236,887273957854 21 293
flew 154 177,471633146737 82 201
them 155 4,46448820688039 512 189
